"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14812","test_naver_attach_send","test_services.test_naver_mail_sync","Wed Nov 13 15:58:36 KST 2024","failed","Wed Nov 13 15:58:51 KST 2024","","test_naver","",""
"","5552","test_naver_login","test_services.test_naver_mail_sync","Wed Nov 13 15:58:04 KST 2024","passed","Wed Nov 13 15:58:09 KST 2024","","test_naver","",""
"","8826","test_naver_keyword_send","test_services.test_naver_mail_sync","Wed Nov 13 15:58:27 KST 2024","failed","Wed Nov 13 15:58:36 KST 2024","","test_naver","",""
"","8067","test_naver_pattern_send","test_services.test_naver_mail_sync","Wed Nov 13 16:14:34 KST 2024","failed","Wed Nov 13 16:14:42 KST 2024","","test_naver_mail_total","",""
"","7898","test_naver_normal_send","test_services.test_naver_mail_sync","Wed Nov 13 16:14:18 KST 2024","failed","Wed Nov 13 16:14:26 KST 2024","","test_naver_mail_total","",""
"","8765","test_naver_pattern_send","test_services.test_naver_mail_sync","Wed Nov 13 15:58:18 KST 2024","failed","Wed Nov 13 15:58:27 KST 2024","","test_naver","",""
"","7971","test_naver_login","test_services.test_naver_mail_sync","Wed Nov 13 16:14:02 KST 2024","passed","Wed Nov 13 16:14:10 KST 2024","","test_naver_mail_total","",""
"","8686","test_naver_normal_send","test_services.test_naver_mail_sync","Wed Nov 13 15:58:09 KST 2024","failed","Wed Nov 13 15:58:18 KST 2024","","test_naver","",""
"","8258","test_naver_keyword_send","test_services.test_naver_mail_sync","Wed Nov 13 16:14:51 KST 2024","failed","Wed Nov 13 16:14:59 KST 2024","","test_naver_mail_total","",""
"","14226","test_naver_attach_send","test_services.test_naver_mail_sync","Wed Nov 13 16:15:13 KST 2024","failed","Wed Nov 13 16:15:28 KST 2024","","test_naver_mail_total","",""
